Quick Look Plugins - For macOS.
Dev Env
Dotfiles
Shell
Fish - User-friendly shell.
Command-Line Apps
ZSH Plugins
GitHub - Hosting service for Git repositories.
Browser Extensions
Cheat Sheet
Pinned Gists - Dynamic pinned gists for your GitHub profile.
Git Cheat Sheet & Git Flow
Git Tips
Git Add-ons - Enhance the git CLI.
Git Hooks - Scripts for automating tasks during git workflows.
SSH
FOSS for Developers
Hyper - Cross-platform terminal app built on web technologies.
PowerShell - Cross-platform object-oriented shell.
Alfred Workflows - Productivity app for macOS.
Terminals Are Sexy
GitHub Actions - Create tasks to automate your workflow and share them with others on GitHub.
