Open Companies
Places to Post Your Startup
OKR Methodology - Goal setting & communication best practices.
Leading and Managing - Leading people and being a manager in a technology company/environment.
Indie - Independent developer businesses.
Tools of the Trade - Tools used by companies on Hacker News.
Clean Tech - Fighting climate change with technology.
Wardley Maps - Provides high situational awareness to help improve strategic planning and decision making.
