Application Security
Security
CTF - Capture The Flag.
Malware Analysis
Android Security
Hacking
"Honeypots - Deception trap, designed to entice an attacker into attempting to compromise the information systems in an organization."
Incident Response
Vehicle Security and Car Hacking
Web Security - Security of web apps & services.
Lockpicking - The art of unlocking a lock by manipulating its components without the key.
Cybersecurity Blue Team - Groups of individuals who identify security flaws in information technology systems.
Fuzzing - Automated software testing technique that involves feeding pseudo-randomly generated input data.
Embedded and IoT Security
GDPR - Regulation on data protection and privacy for all individuals within EU.
DevSecOps - Integration of security practices into DevOps.
