Database
MySQL
SQLAlchemy
InfluxDB
Neo4j
MongoDB - NoSQL database.
RethinkDB
TinkerPop - Graph computing framework.
PostgreSQL - Object-relational database.
CouchDB - Document-oriented NoSQL database.
"HBase - Distributed, scalable, big data store."
"NoSQL Guides - Help on using non-relational, distributed, open-source, and horizontally scalable databases."
Contexture - Abstracts queries/filters and results/aggregations from different backing data stores like ElasticSearch and MongoDB.
Database Tools - Everything that makes working with databases easier.
