Creative Commons Media
Fonts
Codeface - Text editor fonts.
Stock Resources
GIF - Image format known for animated images.
Music
Open Source Documents
Audio Visualization
Broadcasting
Pixel Art - Pixel-level digital art.
"FFmpeg - Cross-platform solution to record, convert and stream audio and video."
Icons - Downloadable SVG/PNG/font icon projects.
"Audiovisual - Lighting, audio and video in professional environments."
